brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price,used_price
Honor,Android,23.97,yes,no,13,5,64,3,3020,146,2020,127,111.62,86.96
Honor,Android,28.1,yes,yes,13,16,128,8,4300,213,2020,325,249.39,161.49
Honor,Android,24.29,yes,yes,13,8,128,8,4200,213,2020,162,359.47,268.55
Honor,Android,26.04,yes,yes,13,8,64,6,7250,480,2020,345,278.93,180.23
Honor,Android,15.72,yes,no,13,8,64,3,5000,185,2020,293,140.87,103.8
Honor,Android,21.43,yes,no,13,8,64,4,4000,176,2020,223,157.7,113.67
Honor,Android,19.84,yes,no,8,5,32,2,3020,144,2020,234,91.74,72.29
Honor,Android,18.57,yes,no,13,8,64,4,3400,164,2020,219,179.24,132.91
Honor,Android,15.72,yes,no,13,16,128,6,4000,165,2020,161,200.32,150.88
Honor,Android,21.43,yes,no,13,8,128,6,4000,176,2020,327,159.75,103.59
Honor,Android,16.67,yes,no,13,8,64,3,3020,150,2020,268,111.46,86.79
Honor,Android,15.72,yes,no,13,8,64,4,5000,185,2020,344,117.94,74.6
Honor,Android,24.29,yes,yes,13,16,128,8,4100,206,2019,537,499.68,249.81
Honor,Others,8.73,no,no,13,16,4,4,455,41,2019,432,179.62,89.77
Honor,Android,15.72,yes,no,13,16,64,4,4000,171.5,2019,336,221.13,144.87
Honor,Android,23.97,yes,no,13,5,32,2,3020,146,2019,230,88.9,64.48
Honor,Android,21.43,yes,no,13,8,64,4,4000,176,2019,248,129.83,97.03
Honor,Android,19.37,yes,no,13,32,128,6,3750,172,2019,395,249.12,161.05
Honor,Android,24.61,yes,no,13,16,64,4,4000,206,2019,421,180.04,90.02
Honor,Android,23.97,yes,no,13,5,32,2,3020,146,2019,532,120.58,60.35
Honor,Android,25.56,yes,no,5,2,32,3,5100,173,2019,266,248.9,167.63
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,201.14,131.89
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,240.9,72.36
HTC,Android,15.56,yes,no,13,16,32,3,3850,170,2019,187,180.5,136.38
HTC,Android,13.81,yes,no,13,13,64,4,3075,150,2019,499,220.9,110.54
HTC,Android,15.56,yes,no,13,8,32,3,3300,160,2019,497,149.32,74.59
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,419.88,314.66
HTC,Android,15.56,yes,no,13,16,64,4,3850,170,2019,493,279.06,139.44
Huawei,Android,16.03,yes,yes,10.5,16,128,6,4000,192,2020,91,249.73,186.76
Huawei,Android,16.03,yes,yes,10.5,16,64,6,4000,182,2020,299,220.53,157.55
Huawei,Android,15.72,yes,no,10.5,16,128,4,4000,163,2020,354,259.31,167.86
Huawei,Android,15.72,yes,no,10.5,16,128,4,4000,163,2020,306,239.6,155.34
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,231,99.31,73.11
Huawei,Android,16.03,yes,yes,10.5,16,128,8,4000,189,2020,205,319.15,237.67
Huawei,Android,26.04,yes,no,8,8,64,4,7250,450,2020,211,249.33,185.66
Huawei,Android,24.45,yes,yes,10.5,16,256,8,4200,226,2020,120,1399.99,1049.97
Huawei,Android,21.43,yes,no,10.5,8,64,4,4000,176,2020,161,158.88,116.93
Huawei,Android,26.67,yes,yes,13,8,128,6,7250,460,2020,139,550.23,413.14
Huawei,Android,21.43,yes,no,10.5,8,64,4,4000,176,2020,93,141.66,109.56
Huawei,Android,24.61,yes,no,13,16,128,6,4000,206,2019,460,290.74,145.44
Huawei,Android,15.88,yes,no,13,16,128,8,4200,183,2019,223,279.81,209.47
Huawei,Android,26.67,yes,no,13,8,128,6,7250,460,2019,256,449.11,309.05
Huawei,Android,19.37,yes,no,13,32,64,6,4000,178,2019,206,199.25,147.94
Huawei,Android,15.72,yes,no,13,16,64,6,4000,163,2019,488,201.69,101.01
Huawei,Android,21.43,yes,no,13,8,64,4,4000,176,2019,516,150.05,75.03
Huawei,Android,23.65,yes,yes,13,16,512,12,4500,198,2019,289,1699.36,1185.73
Huawei,Android,25.08,yes,yes,13,16,128,6,4200,196,2019,477,650.19,325.11
Huawei,Android,25.08,yes,no,13,16,128,6,4200,196,2019,195,552.1,418.28
Huawei,Android,19.37,yes,no,13,32,128,6,4000,178,2019,244,290.12,217.83
Huawei,Android,24.61,yes,no,13,16,128,4,4000,163.5,2019,376,190.62,124.52
Huawei,Android,26.67,yes,no,13,8,64,4,7500,498,2019,205,300.3,225.83
Huawei,Android,20.96,yes,no,13,8,128,6,6100,340,2019,406,349.65,174.79
Huawei,Android,20.96,yes,no,13,8,64,4,6100,320,2019,462,258.86,129.32
Huawei,Android,21.43,yes,no,13,32,128,8,3500,171,2019,333,389.65,252.92
Huawei,Android,21.43,yes,no,13,32,128,8,3500,171,2019,284,359.79,250.6
Huawei,Android,15.88,yes,no,13,24,128,6,4000,178,2019,202,260.59,196.62
Huawei,Android,15.88,yes,no,13,16,64,4,4000,178,2019,445,280.84,140.5
Huawei,Android,24.61,yes,no,13,16,64,4,4000,196.8,2019,375,280.93,183.54
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,666,110.29,44.14
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,819,150.89,45.36
Infinix,Android,28.26,yes,no,,8,32,2,6000,209,2020,245,99.25,72.93
Infinix,Android,16.19,yes,no,,8,64,4,5000,185,2020,173,111.25,85.94
Infinix,Android,16.19,yes,no,,8,32,2,5000,185,2020,256,90.51,66.43
Infinix,Android,16.19,yes,no,,16,32,3,4000,178,2019,316,99.7,64.51
Infinix,Android,15.56,yes,no,,16,32,2,4000,165,2019,468,130.49,65.29
Lava,Android,23.97,yes,no,,5,32,2,3200,150,2020,356,79.92,51.87
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,819,61.13,18.45
Lenovo,Android,25.56,yes,no,8,5,32,3,7000,520,2020,233,181.52,139.18
Lenovo,Android,25.56,no,no,8,5,64,4,7000,580,2019,419,322.19,161.31
Lenovo,Android,16.67,yes,no,8,5,16,2,4000,172,2019,267,98.6,60.64
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,461,158.56,79.14
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,423,139.5,69.7
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,528,100.16,50.1
Lenovo,Android,21.43,yes,no,8,16,64,6,4000,159,2019,254,250.88,180.87
Lenovo,Android,21.43,yes,yes,8,32,128,6,4000,185,2019,370,400.32,260.52
Lenovo,Android,15.72,yes,no,8,16,64,4,4050,164,2019,482,157.98,78.79
Lenovo,Android,25.56,yes,no,8,8,16,2,8400,655,2016,691,179.69,71.85
LG,Android,23.65,yes,no,5,16,64,4,4000,196.5,2020,273,270.83,194.55
LG,Android,16.51,yes,no,5,13,64,3,4000,219,2020,349,200.23,130.38
LG,Others,6.35,yes,no,2,13,8,1,1470,127,2020,343,150.76,98.76
LG,Android,16.51,yes,yes,5,10,128,8,5000,218,2020,352,869.78,565.13
LG,Android,16.51,yes,yes,5,10,128,8,5000,213,2020,142,699.8,524.45
LG,Android,16.03,yes,no,5,13,32,3,4000,196.5,2020,92,240.19,180.52
LG,Android,23.97,yes,no,8,8,32,3,3450,170,2020,166,130.41,98.63
LG,Android,25.56,yes,no,8,5,32,4,8200,498,2019,329,340.2,221.33
LG,Android,15.88,yes,yes,8,32,256,8,4000,192,2019,383,1100.12,715.2
LG,Android,15.88,yes,no,8,16,64,4,4000,198,2019,443,319.33,159.6
LG,Android,19.84,yes,no,8,5,16,2,3000,148,2019,257,140.38,100.53
LG,Android,19.84,yes,no,8,5,16,1,3000,152,2019,380,100.12,65.2
LG,Android,15.4,yes,no,8,13,32,2,3500,186,2019,255,161.13,119.57
LG,Android,16.03,yes,no,8,13,32,3,4000,194,2019,512,201.2,100.72
LG,Android,18.73,yes,no,8,16,64,4,4050,172,2019,223,190.19,143.01
LG,Android,19.37,yes,no,8,16,32,3,4000,175,2019,200,129.62,96.46
LG,Android,18.26,yes,no,8,8,32,3,4000,164,2019,210,109.36,80.74
LG,Android,15.56,yes,no,13,5,32,3,3500,179,2019,216,200.42,151.16
LG,Android,15.56,yes,no,16,5,64,4,3300,172,2018,724,300.08,120.04
LG,Android,13.49,yes,no,13,5,16,2,4500,171,2018,628,179.66,71.83
LG,Others,3.02,yes,no,8,5,4,1,700,45,2015,1048,319.38,95.82
LG,Android,7.62,no,no,2,1.3,4,0.5,1540,140.45,2014,750,50.7,20.22
Meizu,Android,16.19,yes,yes,,20,128,8,4500,199,2020,186,529.55,398.56
Meizu,Android,16.03,yes,no,,16,128,6,4500,183,2019,449,251.22,125.57
Meizu,Android,16.03,yes,no,,8,32,2,4000,184,2019,190,180.4,137.75
Meizu,Android,15.56,yes,no,,20,128,6,3600,166,2019,459,340.59,170.34
Meizu,Android,15.56,yes,no,,16,64,6,4000,165,2019,517,218.91,109.51
Meizu,Android,15.56,yes,no,,20,128,6,3600,165,2019,332,420.17,272.02
Micromax,Android,10.16,no,no,2,0.3,0.5,0.25,1500,146.5,2014,1016,50.74,15.24
Micromax,Android,8.41,no,no,0.3,0.3,0.5,0.25,1500,89,2014,956,39.05,11.79
Micromax,Android,22.7,no,no,2,0.3,0.2,4,2000,85,2013,680,69.73,27.8
Micromax,Android,10.16,no,no,2,0.3,16,4,2000,89,2013,733,60.03,23.99
Micromax,Android,8.41,no,no,0.3,0.3,16,4,2000,89,2013,1029,48.63,14.59
Motorola,Android,16.03,yes,no,,16,128,6,5000,210,2020,242,300.32,222.49
Motorola,Android,16.35,yes,yes,,25,256,12,5000,203,2020,220,1200.85,901.27
Nokia,Android,23.5,yes,no,0.3,8,64,3,4000,200,2020,310,149.14,97.79
Nokia,Android,19.84,yes,no,0.3,5,16,2,3000,180,2020,193,60.35,43.54
Nokia,Android,19.84,yes,no,0.3,5,16,2,3000,180,2020,356,98.69,64.5
Nokia,Others,5.72,no,no,0.3,5,0.005,2.5,1020,90.5,2020,272,29.96,13.1
Nokia,Others,5.72,no,no,0.3,5,0.005,2.5,1020,91.3,2020,288,18.38,12.63
Nokia,Android,28.1,yes,yes,0.3,24,64,6,4500,220,2020,284,501.12,341.09
Nokia,Others,5.72,no,no,0.3,5,0.02,8,1200,88.2,2020,266,40.41,35.02
Nokia,Others,5.72,yes,no,0.3,8,0.02,16,1200,86.5,2019,234,39.98,30.8
Nokia,Others,14.76,no,no,0.08,8,0.005,4,800,75,2019,195,19.22,14.37
Nokia,Others,14.76,no,no,5,8,0.005,4,800,73,2019,350,11.27,6.55
OnePlus,Android,23.97,yes,yes,,16,128,8,4300,180,2020,110,741.97,559.03
OnePlus,Android,23.97,yes,yes,,16,128,8,4300,180,2020,208,648.14,490.04
OnePlus,Android,25.88,yes,yes,,16,256,12,4085,206,2019,458,801.24,400.43
OnePlus,Android,25.88,yes,yes,,16,128,6,4000,206,2019,294,801.63,568.56
Oppo,Android,23.97,yes,yes,,32,128,8,4000,172,2020,187,470.34,356.01
Oppo,Android,22.07,yes,yes,,32,128,8,4000,183,2020,271,368.8,260.19
Oppo,Android,24.29,yes,yes,,32,128,6,4000,184,2020,100,290.86,215.75
Oppo,Android,23.97,yes,yes,,16,128,8,4000,186,2020,186,519.82,391.59
Oppo,Android,15.56,yes,no,,8,64,3,4230,168,2020,273,119.4,82.49
Oppo,Android,15.88,yes,yes,,32,128,8,4025,180,2020,146,398.77,297.87
Oppo,Android,15.88,yes,yes,8,32,128,8,4025,181,2019,397,440.55,285.13
Oppo,Android,16.03,yes,no,8,8,128,4,4230,180,2019,411,150.79,75.45
Oppo,Android,15.88,yes,no,8,25,128,6,3600,169.5,2019,276,279.38,200.32
Oppo,Android,15.88,yes,no,8,32,128,4,4035,186,2019,205,330.52,246.64
Oppo,Android,23.65,yes,no,8,16,128,6,4020,190,2019,321,258.86,168.78
Oppo,Android,16.19,yes,yes,8,16,256,8,4065,215,2019,392,880.8,571.38
Oppo,Android,15.4,yes,no,8,5,32,2,4000,170,2019,296,100.05,74.85
Oppo,Android,15.56,yes,no,13,8,32,3,4230,168,2018,664,229.81,91.93
Oppo,Android,10.95,yes,no,8,5,8,1,2000,135,2015,1076,149.9,44.95
Others,Android,22.7,yes,yes,8,20,128,6,4000,171,2019,317,900.87,585.46
Realme,Android,16.03,yes,no,,16,64,4,4300,191,2020,289,200.75,145.74
Realme,Android,16.03,yes,no,,16,128,4,5000,199,2020,338,150.53,98.59
Realme,Android,16.03,yes,no,,5,32,3,5000,195,2020,111,100.14,76.16
Realme,Android,15.4,yes,no,,5,32,3,4000,166,2020,167,40.08,30.34
Realme,Android,15.4,yes,no,,5,32,2,4000,166,2019,399,100.62,65.48
Samsung,Android,20.32,yes,no,5,2,16,1.5,4200,313,2015,909,210.23,63.13
Others,Android,15.88,yes,no,2,8,256,8,3130,141,2020,135,670.68,503.47
Others,Android,14.13,yes,no,8,8,64,4,3090,173,2019,523,209.69,104.91
